Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Capital Use Type,Guideway,Guideway Questionable,Stations,Stations Questionable,Administrative Buildings,Administrative Buildings Questionable,Maintenance Buildings,Maintenance Buildings Questionable,Passenger Vehicles,Passenger Vehicles Questionable,Other Vehicles,Other Vehicles Questionable,Fare Collection Equipment,Fare Collection Equipment Questionable,Communication & Information Systems,Communication & Information Systems Questionable,Other,Other Questionable,Reduced Reporter Expenses,Reduced Reporter Questionable,Total,Total Questionable
"City of Albany , dba: Albany Transit System",,GA,40021,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,901,"Albany, GA","85,960",15,MB,Bus,DO,11,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"5,848,484",,0,,0,,0,,0,,"12,295",,"78,786",,"432,351",,0,,"6,371,916",
"Calhoun County Senior Citizens Association, Inc.",Blountstown,FL,41091,Private-Non-Profit Corporation,Rural Reporter,2022,,,,15,DR,Demand Response,DO,15,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"33,441",,"33,441",
Caro Transit Authority,Caro,MI,50224,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,15,DR,Demand Response,DO,15,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"7,918",,"7,918",
Rutherford County,Rutherfordton,NC,40983,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,15,DR,Demand Response,DO,13,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"180,694",,"180,694",
Webb County Community Action Agency,Laredo,TX,60185,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,15,MB,Bus,DO,11,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"212,609",,"212,609",
City of Riverside,Riverside,CA,90086,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,75340,"Riverside--San Bernardino, CA","2,276,703",15,DR,Demand Response,DO,15,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"188,893",,0,,0,,0,,0,,0,,"188,893",
Williamsburg Area Transit Authority,Williamsburg,VA,30076,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,95411,"Williamsburg, VA","89,585",15,MB,Bus,DO,10,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"26,734",,0,,"440,424",,0,,0,,0,,0,,0,,0,,"467,158",
"City of Alhambra, dba: Alhambra Community Transit  aka ACT",Alhambra,CA,90247,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",15,DR,Demand Response,PT,7,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"280,258",,"280,258",
University of Wyoming,Laramie,WY,80140,University,Rural Reporter,2022,,,,15,DR,Demand Response,DO,6,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,717,679",,"1,717,679",
City of San Luis Obispo,San Luis Obispo,CA,90156,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,79147,"San Luis Obispo, CA","56,904",15,MB,Bus,PT,15,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,0,,"8,468",,0,,"8,468",
City of Albany,Albany,OR,00061,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,955,"Albany, OR","62,074",15,MB,Bus,DO,6,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"67,136",,"67,136",
"DJ Transit, Inc.",Laurel,MS,44928,Private-Non-Profit Corporation,Rural Reporter,2022,,,,15,DR,Demand Response,DO,15,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"11,109",,"11,109",
"City of Davenport, dba: Davenport Citibus",Davenport,IA,70009,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,22366,"Davenport, IA--IL","285,211",15,MB,Bus,DO,15,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"93,174",,"93,174",
Knox Area Transit,Mount Vernon,OH,50275,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,15,DR,Demand Response,DO,13,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"190,441",,"190,441",
City of Glendora,Glendora,CA,90266,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",15,DR,Demand Response,PT,11,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"215,182",,"215,182",
City of South Gate,South Gate,CA,90291,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",15,MB,Bus,PT,6,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"447,556",,"447,556",
Nantucket Regional Transit Authority,Nantucket,MA,10162,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,15,MB,Bus,PT,13,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"185,224",,"185,224",
"Lancaster County Council on Aging, dba: Lancaster Area Ride Service",Lancaster,SC,40237,Private-Non-Profit Corporation,Reduced Reporter,2022,15670,"Charlotte, NC--SC","1,379,873",15,DR,Demand Response,DO,15,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"100,182",,"100,182",
"Board of Commissioners of Allegany County Maryland, dba: Allegany County Transit",Cumberland,MD,30041,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,24,Maryland Non-UZA,"1,214,444",15,DR,Demand Response,DO,7,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"224,821",,"224,821",
City of Cleburne,Cleburne,TX,60113,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",15,DR,Demand Response,DO,13,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"80,426",,"80,426",
"City of Commerce, dba: City of Commerce Municipal Buslines",Commerce,CA,90043,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",14,MB,Bus,DO,10,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"568,224",,"4,492,392",,0,,0,,"560,672",,0,,0,,"5,621,288",
Fairfield County Transit System,Winnsboro,SC,41003,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,14,DR,Demand Response,DO,14,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"75,762",,"75,762",
York County Community Action Corporation,Sanford,ME,10099,Private-Non-Profit Corporation,Reduced Reporter,2022,71506,"Portsmouth, NH--ME","95,090",14,DR,Demand Response,DO,14,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"97,624",,"97,624",
Sunshine Transit,Talkeetna,AK,00399,Private-Non-Profit Corporation,Rural Reporter,2022,,,,14,DR,Demand Response,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"474,791",,"474,791",
"The City of Cheyenne, dba: Cheyenne Transit Program",Cheyenne,WY,80020,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,16237,"Cheyenne, WY","79,250",14,DR,Demand Response,DO,14,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,458,054",,"1,458,054",
City of Carlsbad,Carlsbad,NM,60184,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,14,MB,Bus,DO,3,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"44,737",,"44,737",
"Texoma Area Paratransit System, Inc",Sherman,TX,60107,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,81631,"Sherman--Denison, TX","66,691",14,DR,Demand Response,PT,14,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"397,777",,"60,088",,0,,0,,0,,0,,0,,"457,865",
Southeast Tennessee Human Resource Agency -Cleveland Urban Area Transit System Division,Dunlap,TN,40170,Other Publicly-Owned or Privately Chartered Corporation,Reduced Reporter,2022,17722,"Cleveland, TN","73,918",14,DR,Demand Response,DO,7,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"19,420",,"19,420",
Humboldt Transit Authority,Eureka,CA,91036,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,14,MB,Bus,DO,5,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"12,198",,"12,198",
"Butler Transit  Authority, dba: The Bus",Butler,PA,30141,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,69697,"Pittsburgh, PA","1,745,039",14,MB,Bus,PT,5,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"2,059,235",,"2,059,235",
Athens Transit,Glouster,OH,50278,Private-Non-Profit Corporation,Rural Reporter,2022,,,,14,MB,Bus,DO,8,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"662,056",,"662,056",
Walker County,La Fayette,GA,41171,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,14,DR,Demand Response,DO,14,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"3,997",,"3,997",
"Area 10 Council on Aging of Monroe County, dba: Rural Transit",Ellettsville,IN,50308,Area Agency on Aging,Rural Reporter,2022,,,,14,DR,Demand Response,DO,13,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"85,229",,"85,229",
"Josephine County, dba: Josephine Community Transit",Grants Pass,OR,00059,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,34516,"Grants Pass, OR","55,724",14,DR,Demand Response,DO,4,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"211,769",,"211,769",
"City of Thousand Oaks, dba: Thousand Oaks Transit",Thousand Oaks,CA,90165,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,87490,"Thousand Oaks, CA","213,986",14,MB,Bus,PT,5,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,035,341",,"1,035,341",
"City of Commerce, dba: City of Commerce Municipal Buslines",Commerce,CA,90043,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",14,DR,Demand Response,DO,4,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"944,610",,0,,0,,"30,871",,0,,0,,"975,481",
Senior Services of Snohomish County,Lynnwood,WA,00033,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,80389,"Seattle--Tacoma, WA","3,544,011",14,DR,Demand Response,DO,14,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"168,191",,"168,191",
"City of Nashua, dba: Nashua Transit System",Nashua,NH,10087,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,61165,"Nashua, NH--MA","242,984",14,MB,Bus,PT,8,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"1,130,346",,"101,505",,0,,0,,"80,000",,0,,0,,"12,000",,0,,"1,323,851",
Otsego County Board of Commissioners,Gaylord,MI,50340,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,14,DR,Demand Response,DO,14,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"214,436",,"214,436",
City of Portland,Portland,OR,00058,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,71317,"Portland, OR--WA","2,104,238",14,SR,Streetcar Rail,PT,12,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"27,887",,0,,0,,0,,0,,0,,"27,887",
City of Carlsbad,Carlsbad,NM,60184,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,14,DR,Demand Response,DO,11,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"129,143",,"129,143",
Humboldt Transit Authority,Eureka,CA,91036,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,14,CB,Commuter Bus,DO,9,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"138,173",,"138,173",
Athens Transit,Glouster,OH,50278,Private-Non-Profit Corporation,Rural Reporter,2022,,,,14,DR,Demand Response,DO,6,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"57,067",,"57,067",
People's Transit,Huron,SD,80153,Private-Non-Profit Corporation,Rural Reporter,2022,,,,14,DR,Demand Response,DO,14,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"86,635",,"86,635",
Standing Rock Public Transportation,Fort Yates,ND,88140,Tribe,Reduced Reporter,2022,38,North Dakota Non-UZA,"403,127",14,DR,Demand Response,DO,14,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"3,951",,"3,951",
Alabama Tombigbee Regional Planning Commission,Camden,AL,41084,"MPO, COG or Other Planning Agency",Rural Reporter,2022,,,,14,DR,Demand Response,DO,14,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"307,110",,"307,110",
Sunshine Transit,Talkeetna,AK,00399,Private-Non-Profit Corporation,Rural Reporter,2022,,,,14,MB,Bus,DO,2,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"305,500",,"305,500",
Lee County,Sanford,NC,41150,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,14,DR,Demand Response,DO,14,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"230,024",,"230,024",
"H.EL.P., Inc.",Carrollton,AL,40982,Private-Non-Profit Corporation,Rural Reporter,2022,,,,5,DR,Demand Response,DO,5,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"347,792",,"347,792",
"Blue River Services , dba: Southern Indiana Transit System",Corydon,IN,50347,Private-Non-Profit Corporation,Rural Reporter,2022,,,,14,DR,Demand Response,DO,9,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"72,345",,"72,345",
County of Butler,Butler,PA,31041,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,14,DR,Demand Response,PT,14,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"77,500",,"77,500",
Southeast Tennessee Human Resource Agency -Cleveland Urban Area Transit System Division,Dunlap,TN,40170,Other Publicly-Owned or Privately Chartered Corporation,Reduced Reporter,2022,17722,"Cleveland, TN","73,918",14,MB,Bus,DO,7,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"25,025",,"25,025",
"Helena, City of, dba: Capital Transit",Helena,MT,80137,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,38161,"Helena, MT","52,380",14,DR,Demand Response,DO,10,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"126,528",,"126,528",
"Government of Guam-Guam Regional Transit Authority, dba: Guam Public Transit System",Upper Tumon,GU,90999,State Government Unit or Department of Transportation,Rural Reporter,2022,66,Guam Non-UZA,"25,672",14,DR,Demand Response,DO,7,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"94,238",,"94,238",
"Pitt County, dba: Pitt Area Transit System",Greenville,NC,40220,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,35380,"Greenville, NC","120,150",14,DR,Demand Response,DO,14,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"326,049",,"326,049",
"Hopi Tribe, dba: Hopi Senom Transit",Kykotsmovi Village,AZ,99382,Tribe,Reduced Reporter,2022,4,Arizona Non-UZA,"1,296,856",14,DR,Demand Response,DO,9,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"97,360",,"97,360",
Leech Lake Band of Ojibwe,Cass Lake,MN,55258,Tribe,Reduced Reporter,2022,27,Minnesota Non-UZA,"2,336,986",14,DR,Demand Response,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"215,618",,"215,618",
"City of Lodi, dba: GrapeLine",Lodi,CA,90175,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,50851,"Lodi, CA","73,090",13,MB,Bus,PT,8,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"131,532",,"131,532",
New York City Department of Transportation,New York,NY,20082,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",13,FB,Ferryboat,DO,4,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"2,940,917",,0,,"671,784",,"34,725,363",,0,,0,,"55,183",,"74,162",,0,,"38,467,409",
Okanogan Transit,Omak,WA,00405,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,13,MB,Bus,DO,8,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"849,782",,"849,782",
"City of Kingsport, dba: Kingsport Area Transit Service",Kingsport,TN,40080,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,45235,"Kingsport, TN--VA","98,411",13,DR,Demand Response,DO,6,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"818,675",,"818,675",
Branch Area Transit Authority,Coldwater,MI,50337,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,13,DR,Demand Response,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"6,000",,"6,000",
Morongo Basin Transit Authority,Joshua Tree,CA,91090,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,13,CB,Commuter Bus,DO,2,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"100,818",,"100,818",
Windham Region Transit District,Mansfield Center,CT,10149,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,37243,"Hartford, CT","977,158",13,MB,Bus,DO,5,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"259,853",,"259,853",
"City of Eureka Springs Transit (EST), dba: Eureka Springs Transit",Eureka Springs,AR,60161,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,13,DR,Demand Response,DO,4,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"27,245",,"27,245",
Asotin County,Clarkston,WA,00051,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,49312,"Lewiston, ID--WA","54,798",13,MB,Bus,DO,3,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"119,652",,"119,652",
Lenoir County,Kinston,NC,41162,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,13,DR,Demand Response,DO,13,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"65,499",,"65,499",
"Mount Zion Economic Community Center, Inc.",Summit,MS,44946,Private-Non-Profit Corporation,Rural Reporter,2022,,,,13,DR,Demand Response,DO,13,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"61,324",,"61,324",
City of Tracy,Tracy,CA,90197,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,88280,"Tracy--Mountain House, CA","120,912",13,MB,Bus,PT,9,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"284,321",,"284,321",
RTS Livingston,Rochester,NY,20962,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,13,MB,Bus,DO,13,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"222,870",,"222,870",
"City of Petaluma, dba: Petaluma Transit",Petaluma,CA,90213,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,68887,"Petaluma, CA","65,227",13,MB,Bus,PT,9,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"30,299",,0,,0,,0,,0,,"5,652",,0,,"35,951",
Morongo Basin Transit Authority,Joshua Tree,CA,91090,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,13,MB,Bus,DO,7,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"744,331",,"744,331",
"City of Valparaiso, dba: Valpo",Valparaiso,IN,50183,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,90095,"Valparaiso--Shorewood Forest, IN","51,867",13,MB,Bus,PT,6,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"77,436",,"77,436",
"Adirondack Transit Lines, Inc,",Hurley,NY,20177,Private-For-Profit Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",13,CB,Commuter Bus,DO,13,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"15,263",,0,,"120,837",,"1,511,380",,"35,179",,0,,"199,409",,0,,0,,"1,882,068",
Tuolumne County Transit,Sonora,CA,91057,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,12,DR,Demand Response,PT,8,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"156,040",,"156,040",
"Autauga County Commission, dba: Autauga County Rural Transportation",Prattville,AL,40213,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,58600,"Montgomery, AL","254,348",13,DR,Demand Response,DO,13,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"353,073",,"353,073",
"City of Lodi, dba: GrapeLine",Lodi,CA,90175,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,50851,"Lodi, CA","73,090",13,DR,Demand Response,PT,5,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"77,249",,"77,249",
Rockingham County Council on Aging,Reidsville,NC,40929,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,13,DR,Demand Response,DO,10,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"128,425",,"128,425",
"Senior Citizen Industries, dba: Central Ride Agency of Nebraska",Grand Island,NE,70052,Private-Non-Profit Corporation,Reduced Reporter,2022,34246,"Grand Island, NE","55,099",13,DR,Demand Response,DO,13,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"75,695",,"75,695",
"City of Turlock, dba: Turlock Transit",Turlock,CA,90201,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,89083,"Turlock, CA","79,203",13,MB,Bus,PT,9,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"150,664",,"3,592",,0,,0,,0,,0,,0,,0,,0,,"154,256",
Hinds County Human Resource Agency,Jackson,MS,40955,Private-Non-Profit Corporation,Rural Reporter,2022,,,,13,DR,Demand Response,DO,13,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"16,500",,"16,500",
Iowa Northland Regional Council of Governments,Waterloo,IA,70064,"MPO, COG or Other Planning Agency",Rural Reporter,2022,,,,13,DR,Demand Response,DO,13,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"484,403",,"484,403",
Tahoe Transportation District,Stateline,NV,91092,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,99999,"Lake Tahoe, CA-NV","210,000",13,MB,Bus,DO,7,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"856,184",,0,,0,,"1,848,867",,0,,0,,0,,0,,0,,"2,705,051",
City of Tracy,Tracy,CA,90197,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,88280,"Tracy--Mountain House, CA","120,912",13,DR,Demand Response,PT,4,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"89,786",,"89,786",
Windham Region Transit District,Mansfield Center,CT,10149,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,37243,"Hartford, CT","977,158",13,DR,Demand Response,DO,7,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"189,753",,"189,753",
"City of Kingsport, dba: Kingsport Area Transit Service",Kingsport,TN,40080,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,45235,"Kingsport, TN--VA","98,411",13,MB,Bus,DO,7,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,000,603",,"1,000,603",
Morongo Basin Transit Authority,Joshua Tree,CA,91090,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,13,DR,Demand Response,DO,4,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"175,776",,"175,776",
Stark County Council on Aging / Elder Care,Dickinson,ND,80114,Private-Non-Profit Corporation,Rural Reporter,2022,,,,13,DR,Demand Response,DO,13,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"363,485",,"363,485",
McCormick County Senior Center,Mccormick,SC,41042,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,13,DR,Demand Response,DO,13,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"81,898",,"81,898",
"City of Springfield, Ohio, dba: Springfield City Area Transit",Springfield,OH,50020,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,83980,"Springfield, OH","82,369",13,MB,Bus,PT,8,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"140,305",,"140,305",
"Putnam County , dba: Putnam Area Rapid Transit",Carmel,NY,20096,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",13,MB,Bus,PT,7,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"36,100",,"341,423",,0,,0,,0,,0,,0,,"377,523",
Puerto Rico Maritime Transport Authority,San Juan,PR,40175,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,79093,"San Juan, PR","1,844,410",13,FB,Ferryboat,DO,4,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"8,726,720",,0,,0,,0,,0,,0,,"8,726,720",
"Mid-Ohio Valley Transit Authority, dba: Easy Rider",Parkersburg,WV,30003,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,67672,"Parkersburg, WV--OH","62,500",13,MB,Bus,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"235,175",,"235,175",
"City of Farmington, dba: Red Apple Transit",Farmington,NM,60100,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,29278,"Farmington, NM","51,763",13,MB,Bus,PT,9,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"215,927",,"215,927",
"City of Turlock, dba: Turlock Transit",Turlock,CA,90201,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,89083,"Turlock, CA","79,203",13,DR,Demand Response,PT,4,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"700,839",,0,,0,,"112,171",,0,,0,,"813,010",
Tahoe Transportation District,Stateline,NV,91092,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,99999,"Lake Tahoe, CA-NV","210,000",13,MB,Bus,DO,7,Uses of Capital (F-20) - Expansion of Service,0,,"1,599,461",,0,,0,,0,,0,,0,,0,,0,,0,,"1,599,461",
